2025-08-07 03:22:58 | State: DROWSY | EAR: 0.117194 | MAR: 0.382954 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:58 | State: DROWSY | EAR: 0.148392 | MAR: 0.373915 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:59 | State: DROWSY | EAR: 0.159526 | MAR: 0.378032 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:59 | State: DROWSY | EAR: 0.163426 | MAR: 0.367973 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:59 | State: DROWSY | EAR: 0.214027 | MAR: 0.373177 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:59 | State: DROWSY | EAR: 0.232056 | MAR: 0.380329 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:59 | State: DROWSY | EAR: 0.237902 | MAR: 0.348794 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:23:00 | State: DROWSY | EAR: 0.236361 | MAR: 0.391794 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:23:00 | State: DROWSY | EAR: 0.246565 | MAR: 0.357187 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:23:16 | State: YAWNING | EAR: 0.263914 | MAR: 0.708269 | Message: Driver is yawning
2025-08-07 03:23:18 | State: YAWNING | EAR: 0.0826633 | MAR: 0.743612 | Message: Driver is yawning
2025-08-07 03:23:18 | State: YAWNING | EAR: 0.0927945 | MAR: 0.707294 | Message: Driver is yawning
2025-08-07 03:23:18 | State: YAWNING | EAR: 0.110368 | MAR: 0.799435 | Message: Driver is yawning
2025-08-07 03:23:19 | State: YAWNING | EAR: 0.14007 | MAR: 0.931302 | Message: Driver is yawning
2025-08-07 03:23:19 | State: YAWNING | EAR: 0.169894 | MAR: 0.746191 | Message: Driver is yawning
2025-08-07 03:23:19 | State: YAWNING | EAR: 0.231596 | MAR: 0.761438 | Message: Driver is yawning
2025-08-07 03:23:19 | State: DROWSY | EAR: 0.214244 | MAR: 0.690158 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:23:19 | State: DROWSY_YAWNING | EAR: 0.20131 | MAR: 0.723095 | Message: Driver is drowsy and yawning - HIGH RISK | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
